id_interno;numero_proyecto;extracto;Fecha;Año;Estado;Proyecto;Expediente Electrónico;TEXTO ORIGINAL;Autores
3427;Proyecto N° 508;DECLARAR DE INTERES LEGISLATIVO EL TRABAJO DE INVESTIGACION LLAMADO HABIA UNA VEZ UNA CABRA, REALIZADO POR ALUMNOS DEL COLEGIO BELGRANO DE LA CAPITAL, EN EL MARCO DE LA FERIA DE CIENCIAS (INSTANCIA DEPARTAMENTAL).;2019-09-09;2019;ARCHIVADO;Declaración;;;
3428;Proyecto N° 509;DECLARASE DE INTERES PARLAMENTARIO EL HOMENAJE AL MAESTRO DE AMERICA  DOMINGO FAUSTINO SARMIENTO.;2019-09-09;2019;ARCHIVADO;Declaración;;;
3429;Proyecto N° 510;DECLARASE DE INTERES PARLAMENTARIO LAS ACCIONES DE PREVENCION DE VIOLENCIA SIMBOLICA REALIZADAS POR LOS ALUMNOS DE LOS COLEGIOS BELGRANO Y PIA DIDOMENICO.;2019-09-09;2019;ARCHIVADO;Declaración;;;
3430;Proyecto N° 511;INSTITUYASE EN EL AMBITO DEL MINISTERIO DE EDUCACION DE LA PROVINCIA, EL REGISTRO DE PADRON OFICIAL DE ESTABLECIMIENTOS EDUCATIVOS COMO EL UNICO REGISTRO OFICIAL DE LOS MISMOS;2019-09-09;2019;ARCHIVADO;Ley Provincial;;;
3431;Proyecto N° 512;PROTECCION DE LOS RECURSOS NATURALES, MINERALES Y ENERGETICOS DE LA PROVINCIA DE CATAMARCA QUE PERTENECEN A SU DOMINIO ORIGINARIO (ARTICULO 124 DE LA CONSTITUCION NACIONAL Y ARTICULO 66,67 Y 68 DE LA CONSTITUCION PROVINCIAL) FRENTE A LA POSIBLE ACCION DE ACREEDORES EXTERNOS DEL ESTADO NACIONAL .;2019-09-09;2019;ARCHIVADO;Ley Provincial;;;
3432;Proyecto N° 513;DECLARESE DE INTERES PARLAMENTARIO, CULTURAL Y DEPORTIVO LA TRAYECTORIA EN LA DISCIPLINA DEPORTIVA PADEL, A DARIO AGUSTIN TAPIA.;2019-09-10;2019;ARCHIVADO;Declaración;;;
3433;Proyecto N° 514;DECLARAR DE INTERES CULTURAL, EL 1ER CONGRESO DEPARTAMENTAL DE ENFERMERIA DEL DEPARTAMENTO DE ENFERMERIA DEL AREA PROGRAMATICA N° 12 DE LA CIUDAD DE SANTA MARIA PCIA. DE CATAMARCA.;2019-09-10;2019;ARCHIVADO;Declaración;;;
3434;Proyecto N° 516;LEY DE EMERGENCIA ALIMENTARIA.;2019-09-10;2019;ARCHIVADO;Ley Provincial;;;
3435;Proyecto N° 517;DECLARASE DE INTERES PARLAMENTARIO EL CONCURSO FOTOGRAFICO AMATEUR LOS LAPICES SIGUEN ESCRIBIENDO.;2019-09-10;2019;ARCHIVADO;Declaración;;;
3436;Proyecto N° 518;EXPRESAR EL RECONOCIMIENTO Y BENEPLACITO DE ESTA CAMARA A LA CANTANTE LIRICA IVANA LEDESMA POR HABER RECIBIDO EL PREMIO ALEJANDRO CORDERO.;2019-09-10;2019;ARCHIVADO;Declaración;;;
3437;Proyecto N° 519;DECLARASE DE INTERES PARLAMENTARIO EL PRIMER SIMPOSIO ANUAL DE CANCER DE CUELLO UTERINO REALIZADO EN NUESTRA PROVINCIA.;2019-09-10;2019;ARCHIVADO;Declaración;;;
3438;Proyecto N° 520;INSTAR A LOS LEGISLADORES NACIONALES PARA QUE SOLICITEN AL PODER EJECUTIVO NACIONAL UN INFORME A CERCA DE LA FINALIDAD DEL DECRETO QUE HABILITA LA IMPORTACION DE BASURA Y RESIDUOS DE OTROS PAISES.;2019-09-10;2019;ARCHIVADO;Resolución;;;
3439;Proyecto N° 521;EXPRESASE EL MAS ENERGICO REPUDIO AL DECRETO FIRMADO POR EL PRESIDENTE, MAURICIO MACRI QUE HABILITA LA IMPORTACION DE BASURA Y RESIDUOS DE OTROS PAISES.;2019-09-10;2019;ARCHIVADO;Declaración;;;
3440;Proyecto N° 522;REGISTRAR Y CONTROLAR LA ADQUISICION DE INMUEBLES RURALES POR PARTE DE PERSONAS FISICAS O JURIDICAS EXTRANJERAS EN LA PROVINCIA DE CATAMARCA.;2019-09-10;2019;ARCHIVADO;Ley Provincial;;;
3441;Proyecto N° 523;DECLARAR DE INTERES PARLAMENTARIO TODOS LOS ACTOS CONMEMORATIVOS A REALIZARSE EN EL DEPARTAMENTO VILLA DE POMAN CON MOTIVO DE CUMPLIR 386 AÑOS DE SU FUNDACION EL PROXIMO 15 DE SEPTIEMBRE EN LA VILLA DE POMAN.;2019-09-10;2019;ARCHIVADO;Declaración;;;
3442;Proyecto N° 524;DECLARAR DE INTERES PARLAMENTARIO LA CAMPAÑA PONGAMOS FIN A LA POLIO ORGANIZADA POR EL ROTARY INTERNACIONAL CLUB, AL CONMEMORARSE EL 24 DE OCTUBRE DE DIA MUNDIAL DE LA LUCHA CONTRA LA POLIOMIELITIS.;2019-09-10;2019;ARCHIVADO;Declaración;;;
